epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3436,2.00666,3.25692,1.73893,0.34783,0.14765,0.13431,0.06295,1.8335,3.57147,1.51802,0.000362927,0.000362927,0.000362927
2,44.9377,1.93035,2.15688,1.65242,0.27655,0.22957,0.2818,0.11674,1.98054,2.53546,1.66995,0.000718741,0.000718741,0.000718741
3,64.6045,1.87506,1.89377,1.61622,0.45781,0.41652,0.40941,0.1536,1.96574,2.02902,1.67459,0.00105989,0.00105989,0.00105989
4,84.8226,1.83891,1.76329,1.56967,0.40096,0.4647,0.40323,0.16004,1.96097,1.87366,1.66991,0.00104501,0.00104501,0.00104501
5,106.214,1.83804,1.73793,1.57999,0.47691,0.52281,0.48246,0.20095,1.89964,1.58073,1.62228,0.00102301,0.00102301,0.00102301
6,127.123,1.81379,1.70027,1.54704,0.48042,0.50777,0.45766,0.18515,1.87787,1.571,1.61868,0.00100101,0.00100101,0.00100101
7,147.244,1.79906,1.63805,1.5395,0.53422,0.51535,0.48931,0.20551,1.87108,1.51585,1.60107,0.000979013,0.000979013,0.000979013
8,167.596,1.74677,1.55697,1.51399,0.53562,0.50066,0.47952,0.20191,1.87634,1.53543,1.60659,0.000957015,0.000957015,0.000957015
9,187.143,1.7628,1.53376,1.51665,0.48926,0.4841,0.48244,0.20462,1.92378,1.47082,1.66337,0.000935018,0.000935018,0.000935018
10,207.185,1.75952,1.53339,1.5148,0.55268,0.50777,0.51057,0.21478,1.90057,1.4892,1.60256,0.00091302,0.00091302,0.00091302
11,226.624,1.7335,1.48143,1.49563,0.58418,0.49891,0.54685,0.23626,1.83265,1.38759,1.57514,0.000891022,0.000891022,0.000891022
12,246.429,1.74948,1.47159,1.5073,0.54877,0.54326,0.54993,0.23693,1.82286,1.3708,1.56928,0.000869024,0.000869024,0.000869024
13,266.364,1.71354,1.41341,1.49178,0.53419,0.57339,0.55033,0.2379,1.85707,1.36965,1.58715,0.000847026,0.000847026,0.000847026
14,286.58,1.73019,1.4341,1.48908,0.71581,0.52259,0.53907,0.22562,1.8855,1.36707,1.60415,0.000825029,0.000825029,0.000825029
15,308.073,1.71571,1.39419,1.47671,0.5887,0.5599,0.55822,0.2468,1.81981,1.30088,1.56699,0.000803031,0.000803031,0.000803031
16,330.088,1.68596,1.35675,1.46241,0.5194,0.55976,0.54662,0.24157,1.85178,1.31962,1.55433,0.000781033,0.000781033,0.000781033
17,351.809,1.70094,1.36069,1.4603,0.50551,0.53196,0.54942,0.23364,1.85533,1.34822,1.58302,0.000759035,0.000759035,0.000759035
18,377.368,1.67456,1.3132,1.44967,0.52563,0.5315,0.51148,0.22315,1.85443,1.38635,1.56755,0.000737037,0.000737037,0.000737037
19,400.251,1.69643,1.32448,1.46082,0.61989,0.5259,0.57359,0.25178,1.85904,1.26414,1.57535,0.00071504,0.00071504,0.00071504
20,423.89,1.66719,1.28699,1.43585,0.56509,0.60894,0.59965,0.2695,1.8175,1.23458,1.54886,0.000693042,0.000693042,0.000693042
